,link,download
91,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/148-level-1/3883-bai-so-10.html,
92,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/149-level-2/3888-bai-so-5.html,
93,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/133-level-1/3812-bai-so-7.html,
94,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/133-level-1/3814-bai-so-9.html,
95,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/173-level-2/3780-bai-so-1.html,
96,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/133-level-1/3810-bai-so-5.html,
97,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/133-level-1/3813-bai-so-8.html,
98,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/133-level-1/3815-bai-so-10.html,
99,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/133-level-1/3811-bai-so-6.html,
100,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/133-level-1/3806-bai-so-1.html,
101,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/133-level-1/3807-bai-so-2.html,
102,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/185-level-2/3759-bai-so-1.html,
103,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/133-level-1/3809-bai-so-4.html,
104,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/149-level-2/3891-bai-so-8.html,
105,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/184-level-1/1143-bai-so-1.html,
106,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/149-level-2/3886-bai-so-3.html,
107,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/131-level-2/3797-bai-so-7.html,
108,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/149-level-2/3887-bai-so-4.html,
109,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/178-level-1/1112-bai-so-1.html,
110,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/133-level-1/3808-bai-so-3.html,
111,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/137-level-2/3834-bai-so-10.html,
112,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3213-de-thi-thu-vat-ly-so-20.html,
113,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3270-de-thi-thu-vat-ly-so-22.html,
114,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1939-de-thi-thu-vat-ly-so-7.html,
115,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1942-de-thi-thu-vat-ly-so-10.html,
116,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1936-de-thi-thu-vat-ly-so-5.html,
117,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1934-de-thi-thu-vat-ly-so-3.html,
118,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3317-de-thi-thu-vat-ly-so-31.html,
119,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1937-de-thi-thu-vat-ly-so-6.html,
120,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1940-de-thi-thu-vat-ly-so-8.html,
121,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1935-de-thi-thu-vat-ly-so-4.html,
122,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3318-de-thi-thu-vat-ly-so-32.html,
123,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3209-de-thi-thu-vat-ly-so-16.html,
124,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1941-de-thi-thu-vat-ly-so-9.html,
125,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3319-de-thi-thu-vat-ly-so-33.html,
126,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3212-de-thi-thu-vat-ly-so-19.html,
127,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1944-de-thi-thu-vat-ly-so-12.html,
128,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1887-de-thi-thu-vat-ly-so-2.html,
129,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3272-de-thi-thu-vat-ly-so-24.html,
130,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3316-de-thi-thu-vat-ly-so-30.html,
131,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3315-de-thi-thu-vat-ly-so-29.html,
132,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3216-de-thi-thu-vat-ly-so-21.html,
133,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3210-de-thi-thu-vat-ly-so-17.html,
134,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3274-de-thi-thu-vat-ly-so-26.html,
135,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1886-de-thi-thu-vat-ly-so-1.html,
136,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1945-de-thi-thu-vat-ly-so-13.html,
137,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3275-de-thi-thu-vat-ly-so-27.html,
138,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3211-de-thi-thu-vat-ly-so-18.html,
139,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1947-de-thi-thu-vat-ly-so-15.html,
140,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3273-de-thi-thu-vat-ly-so-25.html,
141,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1946-de-thi-thu-vat-ly-so-14.html,
142,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3271-de-thi-thu-vat-ly-so-23.html,
143,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/1943-de-thi-thu-vat-ly-so-11.html,
144,http://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/255-level-1/3314-de-thi-thu-vat-ly-so-28.html,
145,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/130-level-1/3790-bai-so-10.html,
146,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/139-level-1/3837-bai-so-8.html,
147,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/139-level-1/384-bai-so-2.html,
148,http://www.baitap123.com/dai-hoc-cao-dang/nam-2014/xac-nhan/vat-ly/200-de-thi-dai-hoc-mon-vat-ly-khoi-a-a1-ma-259.html,
149,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/154-level-1/1055-bai-so-5.html,
150,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/157-level-1/3770-bai-so-10.html,
151,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/132-level-3/3803-bai-so-3.html,
152,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/tuyen-chon-xac-nhan/577-de-so-1-nam-2017.html,
153,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/tuyen-chon-xac-nhan/578-de-so-2-nam-2017.html,
154,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/tuyen-chon-xac-nhan/579-de-so-3-nam-2017.html,
155,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/tuyen-chon-xac-nhan/580-de-so-4-nam-2017.html,
156,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/tuyen-chon-xac-nhan/581-de-so-5-nam-2017.html,
157,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/tuyen-chon-xac-nhan/608-de-so-6-nam-2017.html,
158,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/tuyen-chon-xac-nhan/609-de-so-7-nam-2017.html,
159,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/tuyen-chon-xac-nhan/610-de-so-8-nam-2017.html,
160,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/tuyen-chon-xac-nhan/611-de-so-9-nam-2017.html,
161,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/tuyen-chon-xac-nhan/612-de-so-10-nam-2017.html,
162,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/827-level-2/12430-de-so-1.html,
163,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/827-level-2/12431-de-so-2-level-1.html,
164,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/827-level-2/12432-de-so-3-level-1.html,
165,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/827-level-2/12433-de-so-4-level-1.html,
166,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/827-level-2/12434-de-so-5-level-1.html,
167,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/827-level-2/12435-de-so-6-level-1.html,
168,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/1554-level-2/12440-de-so-1-level-2.html,
169,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/1554-level-2/12441-de-so-2-level-2.html,
170,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/1554-level-2/12442-de-so-3-level-2.html,
171,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/1554-level-2/12443-de-so-4-level-2.html,
172,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/1554-level-2/12444-de-so-5-level-2.html,
173,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/1554-level-2/12445-de-so-6-level-2.html,
174,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/1557-level-3/12450-de-so-1-level-3.html,
